"","location","avgPrice"
"1","Aidlingen,Böblingen (Kreis)",1666.66666666667
"2","Altbach,Esslingen (Kreis)",2682.53968253968
"3","Asemwald,Stuttgart",3294.36728395062
"4","Auenwald,Rems-Murr-Kreis",3025.3164556962
"5","Bad Cannstatt,Stuttgart",3539.00016995256
"6","Baltmannsweiler,Esslingen (Kreis)",1632.18390804598
"7","Bergheim,Stuttgart",2812.5
"8","Beuren,Esslingen (Kreis)",3089.10891089109
"9","Birkach,Stuttgart",3354.64480874317
"10","Botnang,Stuttgart",4227.83094849991
"11","Degerloch,Stuttgart",4229.79962086199
"12","Ditzingen,Ludwigsburg (Kreis)",2746.24652455978
"13","Dürrlewang,Stuttgart",4506.17283950617
"15","Fasanenhof,Stuttgart",2898.04916829746
"16","Fellbach,Rems-Murr-Kreis",3700
"17","Feuerbach,Stuttgart",5523.86637356551
"18","Filderstadt,Esslingen (Kreis)",3490.68825910931
"19","Frauenkopf,Stuttgart",4842.46323529412
"20","Freiberg,Stuttgart",2712.32876712329
"21","Gäufelden,Böblingen (Kreis)",2437.35632183908
"22","Giebel,Stuttgart",3266.56920077973
"23","Hedelfingen,Stuttgart",4966.66666666667
"24","Herrenberg,Böblingen (Kreis)",4130.4347826087
"25","Heumaden,Stuttgart",4380.81159108476
"26","Hofen,Stuttgart",2943.4504546155
"27","Hoffeld,Stuttgart",5603.44827586207
"28","Kaltental,Stuttgart",4401.51805809331
"29","Kirchheim unter Teck,Esslingen (Kreis)",4226.27737226277
"30","Köngen,Esslingen (Kreis)",3127.65957446808
"31","Korb,Rems-Murr-Kreis",2531.91489361702
"32","Kornwestheim,Ludwigsburg (Kreis)",2916.89655172414
"33","Leonberg,Böblingen (Kreis)",4010.41666666667
"34","Leutenbach,Rems-Murr-Kreis",3227.27272727273
"35","Lichtenwald,Esslingen (Kreis)",2223.88059701493
"36","Ludwigsburg,Ludwigsburg (Kreis)",3470.9510955067
"37","Luginsland,Stuttgart",3363.63636363636
"38","Marbach am Neckar,Ludwigsburg (Kreis)",2959.18367346939
"39","Mitte,Stuttgart",7080.84887348429
"40","Möglingen,Ludwigsburg (Kreis)",2021.05263157895
"41","Möhringen,Stuttgart",4708.88767933031
"42","Mönchfeld,Stuttgart",3454.54545454545
"43","Mühlhausen,Stuttgart",3368.63847010322
"44","Münster,Stuttgart",3185.68306010929
"45","Neugereut,Stuttgart",3251.2077294686
"46","Neuhausen auf den Fildern,Esslingen (Kreis)",2821.78217821782
"47","Nord,Stuttgart",5698.21027993785
"48","Nufringen,Böblingen (Kreis)",3794.64285714286
"49","Nürtingen,Esslingen (Kreis)",2078.65168539326
"50","Obertürkheim,Stuttgart",3176.98668500737
"51","Oppenweiler,Rems-Murr-Kreis",2373.01587301587
"52","Ostfildern,Esslingen (Kreis)",3376.93854568855
"54","Plieningen,Stuttgart",3380.71625050552
"55","Remseck am Neckar,Ludwigsburg (Kreis)",2781.30359836242
"56","Riedenberg,Stuttgart",3635.70796881803
"57","Rohracker,Stuttgart",3112.16897856242
"58","Rohr,Stuttgart",4869.65162497077
"59","Rot,Stuttgart",2814.27015250545
"60","Schönaich,Böblingen (Kreis)",3934.4262295082
"61","Schönberg,Stuttgart",4580.19688644689
"62","Schorndorf,Rems-Murr-Kreis",3592.83388969012
"63","Sillenbuch,Stuttgart",3766.50892898692
"64","Sindelfingen,Böblingen (Kreis)",3196.7672024562
"65","Sonnenberg,Stuttgart",3822.31160534721
"66","Stammheim,Stuttgart",3855.0883524446
"67","Süd,Stuttgart",4524.50751649101
"68","Uhlbach,Stuttgart",3441.66666666667
"69","Untertürkheim,Stuttgart",3413.51789131662
"70","Vaihingen an der Enz,Ludwigsburg (Kreis)",1718.75
"71","Vaihingen,Stuttgart",4107.78906234016
"72","Waiblingen,Rems-Murr-Kreis",2400.35778175313
"73","Waldenbuch,Böblingen (Kreis)",2714.28571428571
"74","Wangen,Stuttgart",3446.51027851459
"75","Weilimdorf,Stuttgart",3062.97655279775
"76","Weinstadt,Rems-Murr-Kreis",3119.25824175824
"77","West,Stuttgart",5590.41696548981
"78","Winnenden,Rems-Murr-Kreis",3211.11111111111
"79","Wolfbusch,Stuttgart",2926.47058823529
"80","Wolfschlugen,Esslingen (Kreis)",2243.58974358974
"81","Zuffenhausen,Stuttgart",3156.91155059261
