"","location","avgPrice"
"1","Affalterbach,Ludwigsburg (Kreis)",2200
"2","Aichwald,Esslingen (Kreis)",3681.31868131868
"3","Aidlingen,Böblingen (Kreis)",2175
"4","Altbach,Esslingen (Kreis)",3008.84955752212
"5","Asemwald,Stuttgart",3475.96153846154
"6","Backnang,Rems-Murr-Kreis",3462.5
"7","Bad Cannstatt,Stuttgart",3721.14874085534
"8","Birkach,Stuttgart",3768.23251760177
"9","Botnang,Stuttgart",4320.68041081011
"10","Degerloch,Stuttgart",3784.0551261765
"11","Fasanenhof,Stuttgart",2943.45238095238
"12","Fellbach,Rems-Murr-Kreis",1618.42105263158
"13","Feuerbach,Stuttgart",4695.45344993759
"14","Filderstadt,Esslingen (Kreis)",3571.98551935394
"15","Frauenkopf,Stuttgart",7562.24838969404
"16","Freiberg am Neckar,Ludwigsburg (Kreis)",3183.33333333333
"17","Giebel,Stuttgart",3238.61217539378
"18","Hedelfingen,Stuttgart",3852.87356321839
"19","Heumaden,Stuttgart",5056.86328600321
"20","Hofen,Stuttgart",3005.02388657728
"21","Ingersheim,Ludwigsburg (Kreis)",3064.51612903226
"22","Kaltental,Stuttgart",4087.81979713519
"23","Lederberg,Stuttgart",4214.28571428571
"24","Mitte,Stuttgart",6385.53588900798
"25","Möhringen,Stuttgart",4513.64594738723
"26","Mönchfeld,Stuttgart",3136.36363636364
"27","Mühlhausen,Stuttgart",3994.85269778219
"28","Münster,Stuttgart",2967.84153005464
"30","Neugereut,Stuttgart",3615.51600143833
"31","Nord,Stuttgart",6775.98748937238
"32","Nürtingen,Esslingen (Kreis)",2450.81967213115
"33","Obertürkheim,Stuttgart",3279.03983038013
"34","Ostfildern,Esslingen (Kreis)",3320.38834951456
"35","Ost,Stuttgart",3773.23593585193
"36","Plieningen,Stuttgart",3199.76797481306
"37","Riedenberg,Stuttgart",3855.05940028864
"38","Rohracker,Stuttgart",3769.83296515909
"39","Rohr,Stuttgart",3810.11904761905
"40","Rot,Stuttgart",2850.78197945845
"41","Schönaich,Böblingen (Kreis)",2931.37254901961
"42","Schönberg,Stuttgart",4285.1966873706
"43","Sillenbuch,Stuttgart",5005.24611700172
"44","Sindelfingen,Böblingen (Kreis)",3265.02766599598
"45","Sommerrain,Stuttgart",3622.64150943396
"46","Sonnenberg,Stuttgart",3784.81012658228
"47","Stammheim,Stuttgart",3419.3785799752
"48","Süd,Stuttgart",4592.89207664863
"49","Uhlbach,Stuttgart",3788.7323943662
"50","Unterensingen,Esslingen (Kreis)",2888.15789473684
"51","Untertürkheim,Stuttgart",3128.47178976211
"52","Vaihingen,Stuttgart",4092.17367632926
"53","Waiblingen,Rems-Murr-Kreis",3042.68292682927
"55","Weil der Stadt,Böblingen (Kreis)",4874.21383647799
"56","Weilimdorf,Stuttgart",3551.12494962085
"57","West,Stuttgart",5560.36174805552
"58","Wolfbusch,Stuttgart",4329.26829268293
"59","Zuffenhausen,Stuttgart",3655.33799720215
