"","location","avgPrice"
"1","Asemwald,Stuttgart",3698.71794871795
"2","Backnang,Rems-Murr-Kreis",1931.81818181818
"3","Bad Cannstatt,Stuttgart",3409.30156424181
"4","Besigheim,Ludwigsburg (Kreis)",3788.7323943662
"5","Bietigheim-Bissingen,Ludwigsburg (Kreis)",2978.63247863248
"6","Birkach,Stuttgart",3171.49915760063
"7","Böblingen,Böblingen (Kreis)",3709.64749536178
"8","Botnang,Stuttgart",4123.63696533505
"9","Degerloch,Stuttgart",3456.42243894307
"10","Deizisau,Esslingen (Kreis)",2756.75675675676
"11","Esslingen am Neckar,Esslingen (Kreis)",2715.90909090909
"12","Fasanenhof,Stuttgart",3507.21766848816
"13","Feuerbach,Stuttgart",4836.79311019696
"14","Filderstadt,Esslingen (Kreis)",3719.10112359551
"15","Frauenkopf,Stuttgart",7007.62379227053
"16","Freiberg am Neckar,Ludwigsburg (Kreis)",2939.30288461538
"17","Giebel,Stuttgart",3293.10344827586
"18","Hedelfingen,Stuttgart",3852.87356321839
"19","Heumaden,Stuttgart",4688.40844238157
"20","Hochdorf,Esslingen (Kreis)",2204.91803278689
"21","Hofen,Stuttgart",3245.63106796117
"22","Ingersheim,Ludwigsburg (Kreis)",3923.72503068854
"23","Kaltental,Stuttgart",3898.82430920124
"24","Kirchheim unter Teck,Esslingen (Kreis)",2938.14432989691
"25","Kornwestheim,Ludwigsburg (Kreis)",3100
"26","Lederberg,Stuttgart",4214.28571428571
"27","Leinfelden-Echterdingen,Esslingen (Kreis)",2313.72549019608
"28","Leonberg,Böblingen (Kreis)",3470.8487638875
"29","Ludwigsburg,Ludwigsburg (Kreis)",3975.90361445783
"30","Mitte,Stuttgart",4918.751273729
"31","Möhringen,Stuttgart",4575.77185038001
"32","Mönchfeld,Stuttgart",3136.36363636364
"33","Mühlhausen,Stuttgart",3994.85269778219
"34","Münster,Stuttgart",2967.84153005464
"35","Murrhardt,Rems-Murr-Kreis",2678.76712328767
"36","na,NA",4726.00210810182
"37","Neugereut,Stuttgart",3615.51600143833
"38","Nord,Stuttgart",6519.08617278063
"39","Nürtingen,Esslingen (Kreis)",3093.50602875398
"40","Oberriexingen,Ludwigsburg (Kreis)",2272.72727272727
"41","Obertürkheim,Stuttgart",3337.48500099023
"42","Oppenweiler,Rems-Murr-Kreis",3328.40292080135
"44","Pleidelsheim,Ludwigsburg (Kreis)",2759.03614457831
"45","Plieningen,Stuttgart",3336.07970649679
"46","Plochingen,Esslingen (Kreis)",2710.84337349398
"47","Remseck am Neckar,Ludwigsburg (Kreis)",2307.69230769231
"48","Remshalden,Rems-Murr-Kreis",2616.25
"49","Riedenberg,Stuttgart",3954.91997779709
"50","Rohracker,Stuttgart",3769.83296515909
"51","Rohr,Stuttgart",3810.11904761905
"52","Rot,Stuttgart",2996.89309056956
"53","Rutesheim,Böblingen (Kreis)",3350.51546391753
"54","Schönberg,Stuttgart",4231.49585921325
"55","Schorndorf,Rems-Murr-Kreis",3186.66666666667
"56","Sillenbuch,Stuttgart",4878.96165240888
"57","Sindelfingen,Böblingen (Kreis)",2179.6875
"58","Sommerrain,Stuttgart",3622.64150943396
"59","Sonnenberg,Stuttgart",3784.81012658228
"60","Stammheim,Stuttgart",3390.71837711452
"61","Steinheim an der Murr,Ludwigsburg (Kreis)",2161.11111111111
"62","Süd,Stuttgart",4787.28757942725
"63","Uhlbach,Stuttgart",3788.7323943662
"64","Untertürkheim,Stuttgart",3050.25025025025
"65","Vaihingen an der Enz,Ludwigsburg (Kreis)",1935.06493506494
"66","Vaihingen,Stuttgart",4092.17367632926
"67","Waiblingen,Rems-Murr-Kreis",2977.45532277203
"68","Waldenbuch,Böblingen (Kreis)",2772.15189873418
"69","Walheim,Ludwigsburg (Kreis)",2791.66666666667
"71","Weilimdorf,Stuttgart",3551.12494962085
"72","Wendlingen am Neckar,Esslingen (Kreis)",2463.23529411765
"73","West,Stuttgart",5464.40884585043
"74","Winnenden,Rems-Murr-Kreis",3519.60317460317
"75","Wolfbusch,Stuttgart",4329.26829268293
"76","Zuffenhausen,Stuttgart",2643.89445312471
