"","location","avgPrice"
"1","Asemwald,Stuttgart",3264.5331415558
"2","Asperg,Ludwigsburg (Kreis)",2667.61162296244
"3","Backnang,Rems-Murr-Kreis",3040.81632653061
"4","Bad Cannstatt,Stuttgart",3640.80059566709
"5","Baltmannsweiler,Esslingen (Kreis)",2600
"6","Bergheim,Stuttgart",2799.36713491367
"7","Beuren,Esslingen (Kreis)",3829.78723404255
"8","Bietigheim-Bissingen,Ludwigsburg (Kreis)",2349.20634920635
"9","Birkach,Stuttgart",3163.08761660874
"10","Böblingen,Böblingen (Kreis)",3864.51171405628
"11","Botnang,Stuttgart",3814.86148755809
"12","Büsnau,Stuttgart",3602.94117647059
"13","Degerloch,Stuttgart",4737.98962561327
"14","Esslingen am Neckar,Esslingen (Kreis)",3224.98690413829
"15","Fasanenhof,Stuttgart",2759.0900126637
"16","Feuerbach,Stuttgart",4449.36446259007
"17","Filderstadt,Esslingen (Kreis)",3777.77777777778
"18","Frauenkopf,Stuttgart",6880.82042582691
"19","Hausen,Stuttgart",4313.72549019608
"20","Hedelfingen,Stuttgart",3127.97082797083
"21","Herrenberg,Böblingen (Kreis)",2933.33333333333
"22","Heumaden,Stuttgart",4537.53595947747
"23","Hofen,Stuttgart",4126.59490814831
"24","Hoffeld,Stuttgart",3331.66666666667
"25","Kaltental,Stuttgart",4022.38805970149
"26","Kirchheim unter Teck,Esslingen (Kreis)",2643.38235294118
"27","Kornwestheim,Ludwigsburg (Kreis)",3340.90909090909
"28","Leinfelden-Echterdingen,Esslingen (Kreis)",3790
"29","Luginsland,Stuttgart",3696.62921348315
"30","Mitte,Stuttgart",6742.53779447218
"31","Möhringen,Stuttgart",4535.42255527826
"32","Mönchfeld,Stuttgart",3205.36130536131
"33","Mühlhausen,Stuttgart",3342.81369581011
"34","Münster,Stuttgart",3392.23774787192
"35","Neugereut,Stuttgart",2391.30434782609
"36","Nord,Stuttgart",6577.40958098171
"37","Nürtingen,Esslingen (Kreis)",2942.70833333333
"38","Obertürkheim,Stuttgart",3324.50430004778
"40","Plieningen,Stuttgart",3498.24160458386
"41","Plochingen,Esslingen (Kreis)",3582.5726045135
"42","Remseck am Neckar,Ludwigsburg (Kreis)",2777.83613445378
"43","Remshalden,Rems-Murr-Kreis",2666.66666666667
"44","Riedenberg,Stuttgart",4258.34555229717
"45","Rohracker,Stuttgart",2852.94117647059
"46","Rohr,Stuttgart",3486.30036630037
"47","Rot,Stuttgart",2881.9801879085
"48","Schönberg,Stuttgart",4681.38690883052
"49","Sillenbuch,Stuttgart",5055.95076501718
"50","Sindelfingen,Böblingen (Kreis)",3402.98507462687
"51","Sommerrain,Stuttgart",3311.11111111111
"52","Sonnenberg,Stuttgart",4399.36713809633
"53","Stammheim,Stuttgart",3762.02389159885
"54","Steckfeld,Stuttgart",4043.92048081368
"55","Süd,Stuttgart",4224.93274681705
"56","Tamm,Ludwigsburg (Kreis)",3860.21505376344
"57","Uhlbach,Stuttgart",5026.31578947368
"58","Untertürkheim,Stuttgart",2712.28458679905
"59","Vaihingen,Stuttgart",3991.0841218486
"60","Wangen,Stuttgart",3305.08474576271
"61","Weilimdorf,Stuttgart",3319.8028836564
"62","Wendlingen am Neckar,Esslingen (Kreis)",3849.33372643
"63","West,Stuttgart",5969.401596648
"64","Winnenden,Rems-Murr-Kreis",3344.66030001744
"65","Zuffenhausen,Stuttgart",3527.05540372268
