"","location","avgPrice"
"1","Asemwald,Stuttgart",3373.0106497547
"2","Bad Cannstatt,Stuttgart",3477.00931212391
"3","Birkach,Stuttgart",3189.02714932127
"4","Botnang,Stuttgart",4103.881969732
"5","Degerloch,Stuttgart",3227.20316113567
"6","Dürrlewang,Stuttgart",3580
"7","Fasanenhof,Stuttgart",3051.93394176445
"8","Feuerbach,Stuttgart",4598.05334620393
"9","Frauenkopf,Stuttgart",6855.6440280206
"10","Freiberg,Stuttgart",3010.41666666667
"11","Hedelfingen,Stuttgart",3357.14285714286
"12","Heumaden,Stuttgart",4983.67825446922
"13","Hofen,Stuttgart",3125.21008403361
"14","Hoffeld,Stuttgart",2870.58823529412
"15","Kaltental,Stuttgart",3754.10487288136
"16","Mitte,Stuttgart",4294.02119817921
"17","Möhringen,Stuttgart",3988.29884165211
"18","Mönchfeld,Stuttgart",2638.88888888889
"19","Mühlhausen,Stuttgart",2681.15942028986
"20","Münster,Stuttgart",2831.57894736842
"21","Neugereut,Stuttgart",3483.50694444444
"22","Nord,Stuttgart",5266.30644427015
"23","Obertürkheim,Stuttgart",1764.70588235294
"25","Plieningen,Stuttgart",3077.49345028747
"26","Riedenberg,Stuttgart",3994.25919602006
"27","Rohracker,Stuttgart",2819.04225654226
"28","Rohr,Stuttgart",4214.2774413497
"29","Rot,Stuttgart",2715.02267573696
"30","Schönberg,Stuttgart",4357.73621928814
"31","Sommerrain,Stuttgart",3571.42857142857
"32","Sonnenberg,Stuttgart",5372.41379310345
"33","Stammheim,Stuttgart",3418.66864721758
"34","Süd,Stuttgart",4232.73305038763
"35","Uhlbach,Stuttgart",2667.29461015175
"36","Untertürkheim,Stuttgart",3056.69269552975
"37","Vaihingen,Stuttgart",4633.1611284006
"38","Weilimdorf,Stuttgart",3283.45761381476
"39","West,Stuttgart",4825.97672836702
"40","Zuffenhausen,Stuttgart",3618.49485262804
