"","location","avgPrice"
"1","Asemwald,Stuttgart",3294.36728395062
"2","Bad Cannstatt,Stuttgart",3358.19805420758
"3","Bergheim,Stuttgart",2812.5
"4","Birkach,Stuttgart",3164.53444765884
"5","Böblingen,Böblingen (Kreis)",3795.45454545455
"6","Botnang,Stuttgart",4208.42503830735
"7","Büsnau,Stuttgart",3165.1376146789
"8","Degerloch,Stuttgart",4033.56858601862
"9","Deizisau,Esslingen (Kreis)",3359.375
"10","Ditzingen,Ludwigsburg (Kreis)",2277.10843373494
"12","Fasanenhof,Stuttgart",2870.31579293994
"13","Fellbach,Rems-Murr-Kreis",3700
"14","Feuerbach,Stuttgart",5320.8049879995
"15","Filderstadt,Esslingen (Kreis)",3548.38056680162
"16","Frauenkopf,Stuttgart",4967.46323529412
"17","Freiberg,Stuttgart",2605.26315789474
"18","Freudental,Ludwigsburg (Kreis)",1647.05882352941
"19","Gäufelden,Böblingen (Kreis)",2574.71264367816
"20","Giebel,Stuttgart",3129.62962962963
"21","Hedelfingen,Stuttgart",4966.66666666667
"22","Heumaden,Stuttgart",4350.75888244958
"23","Hofen,Stuttgart",2943.4504546155
"24","Hoffeld,Stuttgart",5603.44827586207
"25","Kaltental,Stuttgart",4706.84620376379
"26","Kernen im Remstal,Rems-Murr-Kreis",1960
"27","Kornwestheim,Ludwigsburg (Kreis)",2920
"28","Leonberg,Böblingen (Kreis)",2279.06976744186
"29","Ludwigsburg,Ludwigsburg (Kreis)",3777.1820200683
"30","Luginsland,Stuttgart",3363.63636363636
"31","Mitte,Stuttgart",6535.30401083235
"32","Möhringen,Stuttgart",4977.68467181151
"33","Mönchfeld,Stuttgart",3454.54545454545
"34","Mühlhausen,Stuttgart",3306.36504067487
"35","Münster,Stuttgart",3460.96353962402
"36","Neugereut,Stuttgart",3537.8421900161
"37","Nord,Stuttgart",5426.20598969437
"38","Nufringen,Böblingen (Kreis)",3794.64285714286
"39","Nürtingen,Esslingen (Kreis)",2561.6423670669
"40","Obertürkheim,Stuttgart",3277.64891334316
"41","Ostfildern,Esslingen (Kreis)",3597.21895808852
"43","Plieningen,Stuttgart",3369.43360615013
"44","Remseck am Neckar,Ludwigsburg (Kreis)",3353.01300007182
"45","Riedenberg,Stuttgart",4104.52299582188
"46","Rohracker,Stuttgart",3025.75971119848
"47","Rohr,Stuttgart",4021.81152181152
"48","Rot,Stuttgart",2850.78197945845
"49","Schönberg,Stuttgart",4241.84981684982
"50","Schorndorf,Rems-Murr-Kreis",3322.95081967213
"51","Sillenbuch,Stuttgart",4442.77643064796
"52","Sindelfingen,Böblingen (Kreis)",3203.64190308674
"53","Sonnenberg,Stuttgart",3926.41866873332
"54","Stammheim,Stuttgart",3885.44309109412
"55","Süd,Stuttgart",4488.67527864888
"56","Untertürkheim,Stuttgart",3295.30554112347
"57","Vaihingen,Stuttgart",3873.25006286564
"58","Waiblingen,Rems-Murr-Kreis",2293.13656925842
"59","Wangen,Stuttgart",4009.28796419098
"60","Weilimdorf,Stuttgart",3009.50648055833
"61","Weinstadt,Rems-Murr-Kreis",2901.96428571429
"62","West,Stuttgart",5820.01918508431
"63","Wolfbusch,Stuttgart",3073.52941176471
"64","Wolfschlugen,Esslingen (Kreis)",2371.79487179487
"65","Zuffenhausen,Stuttgart",3215.06744842853
