"","location","avgPrice"
"1","Aidlingen,Böblingen (Kreis)",2352.63157894737
"2","Asemwald,Stuttgart",3051.88106796117
"3","Backnang,Rems-Murr-Kreis",2445.13708513709
"4","Bad Cannstatt,Stuttgart",3559.64236224694
"5","Benningen am Neckar,Ludwigsburg (Kreis)",2750
"6","Bietigheim-Bissingen,Ludwigsburg (Kreis)",2561.74267459793
"7","Birkach,Stuttgart",3448.32273336386
"8","Böblingen,Böblingen (Kreis)",3140.88692825633
"9","Botnang,Stuttgart",4383.0498761401
"10","Degerloch,Stuttgart",4195.26480359586
"11","Deizisau,Esslingen (Kreis)",3313.72549019608
"12","Denkendorf,Esslingen (Kreis)",3132.53012048193
"13","Esslingen am Neckar,Esslingen (Kreis)",3586.66666666667
"14","Fasanenhof,Stuttgart",3219.15983606557
"15","Fellbach,Rems-Murr-Kreis",3501.38888888889
"16","Feuerbach,Stuttgart",5643.97063854417
"17","Filderstadt,Esslingen (Kreis)",3771.03911713287
"18","Freiberg am Neckar,Ludwigsburg (Kreis)",4010.30927835052
"19","Giebel,Stuttgart",3238.61217539378
"20","Hedelfingen,Stuttgart",4112.64367816092
"21","Heumaden,Stuttgart",4630.13709162115
"22","Hofen,Stuttgart",3005.02388657728
"23","Kaltental,Stuttgart",4150.42639618025
"24","Kernen im Remstal,Rems-Murr-Kreis",3492.48762932973
"25","Kirchberg an der Murr,Rems-Murr-Kreis",2816.66666666667
"26","Kirchheim unter Teck,Esslingen (Kreis)",3061.2573356105
"27","Korntal-Münchingen,Ludwigsburg (Kreis)",6482.55813953488
"28","Kornwestheim,Ludwigsburg (Kreis)",2916.66666666667
"29","Lederberg,Stuttgart",4214.28571428571
"30","Leonberg,Böblingen (Kreis)",2798.03921568627
"31","Ludwigsburg,Ludwigsburg (Kreis)",2805.64102564103
"32","Marbach am Neckar,Ludwigsburg (Kreis)",3061.13700564972
"33","Markgröningen,Ludwigsburg (Kreis)",2333.33333333333
"34","Mitte,Stuttgart",6533.70722685106
"35","Möglingen,Ludwigsburg (Kreis)",2902.43902439024
"36","Möhringen,Stuttgart",4460.40926845342
"37","Mönchfeld,Stuttgart",3136.36363636364
"38","Mühlhausen,Stuttgart",3994.85269778219
"39","Münster,Stuttgart",2967.84153005464
"40","na,NA",4419.87151773823
"41","Neugereut,Stuttgart",3367.71844660194
"42","Nord,Stuttgart",6424.08096141195
"43","Obertürkheim,Stuttgart",3359.07890988309
"44","Ostfildern,Esslingen (Kreis)",2704.92498141955
"46","Pleidelsheim,Ludwigsburg (Kreis)",2200
"47","Plieningen,Stuttgart",3065.68806083949
"48","Plüderhausen,Rems-Murr-Kreis",2228.9156626506
"49","Remseck am Neckar,Ludwigsburg (Kreis)",2905.66037735849
"50","Renningen,Böblingen (Kreis)",2464.28571428571
"51","Riedenberg,Stuttgart",3463.45047109753
"52","Rohracker,Stuttgart",3769.83296515909
"53","Rohr,Stuttgart",3810.11904761905
"54","Rot,Stuttgart",2885.02067493664
"55","Schönberg,Stuttgart",4541.66666666667
"56","Schorndorf,Rems-Murr-Kreis",2748.05676328502
"57","Sillenbuch,Stuttgart",5124.65629353339
"58","Sindelfingen,Böblingen (Kreis)",2766.25122189638
"59","Sommerrain,Stuttgart",3622.64150943396
"60","Sonnenberg,Stuttgart",3784.81012658228
"61","Spiegelberg,Rems-Murr-Kreis",1382.97872340426
"62","Stammheim,Stuttgart",3547.08641585544
"63","Süd,Stuttgart",4658.33177192388
"64","Uhlbach,Stuttgart",3788.7323943662
"65","Untertürkheim,Stuttgart",3242.97295862039
"66","Vaihingen,Stuttgart",4097.85660793812
"67","Waiblingen,Rems-Murr-Kreis",2665.23866339494
"68","Walheim,Ludwigsburg (Kreis)",2161.29032258065
"70","Weil der Stadt,Böblingen (Kreis)",2947.81284606866
"71","Weilimdorf,Stuttgart",3619.58729502549
"72","Weil im Schönbuch,Böblingen (Kreis)",2264.36781609195
"73","Weinstadt,Rems-Murr-Kreis",3551.40186915888
"74","Welzheim,Rems-Murr-Kreis",1991.66666666667
"75","Wernau (Neckar),Esslingen (Kreis)",2778.2131661442
"76","West,Stuttgart",5533.82605800743
"77","Winnenden,Rems-Murr-Kreis",3202.68817204301
"78","Winterbach,Rems-Murr-Kreis",2937.96439628483
"79","Zuffenhausen,Stuttgart",3254.02725263996
