"","location","avgPrice"
"1","Asemwald,Stuttgart",2987.85480170436
"2","Asperg,Ludwigsburg (Kreis)",2307.69230769231
"3","Bad Cannstatt,Stuttgart",3451.91799653998
"4","Benningen am Neckar,Ludwigsburg (Kreis)",3899.08256880734
"5","Birkach,Stuttgart",3083.58636116214
"6","Böblingen,Böblingen (Kreis)",2895.5174686882
"7","Botnang,Stuttgart",4645.77965956742
"8","Degerloch,Stuttgart",5071.7955995964
"9","Ditzingen,Ludwigsburg (Kreis)",3320
"10","Esslingen am Neckar,Esslingen (Kreis)",2950
"11","Fasanenhof,Stuttgart",2980.10826256977
"12","Feuerbach,Stuttgart",3652.80445683141
"13","Frauenkopf,Stuttgart",6408.73695481385
"14","Freiberg,Stuttgart",3071.45075531703
"15","Giebel,Stuttgart",2819.11057692308
"16","Hausen,Stuttgart",4313.72549019608
"17","Hedelfingen,Stuttgart",2295.2047952048
"18","Herrenberg,Böblingen (Kreis)",1124.35233160622
"19","Heumaden,Stuttgart",4568.66186635649
"20","Hofen,Stuttgart",3696.55677655678
"21","Hoffeld,Stuttgart",4158.92658509455
"22","Holzgerlingen,Böblingen (Kreis)",3274.72527472527
"23","Kaltental,Stuttgart",3737.75764036958
"24","Korb,Rems-Murr-Kreis",3687.5
"25","Kornwestheim,Ludwigsburg (Kreis)",2754.25598991173
"26","Leonberg,Böblingen (Kreis)",3028.98550724638
"27","Luginsland,Stuttgart",3893.1543903454
"28","Markgröningen,Ludwigsburg (Kreis)",2499.34793948878
"29","Mitte,Stuttgart",4829.85971858491
"30","Möhringen,Stuttgart",5142.47652365218
"31","Mönchfeld,Stuttgart",3140.94207679113
"32","Münster,Stuttgart",3665.90362255876
"33","Murrhardt,Rems-Murr-Kreis",2411.29032258065
"34","Neugereut,Stuttgart",2880.23059981863
"35","Nord,Stuttgart",6352.48964325819
"36","Notzingen,Esslingen (Kreis)",2480
"37","Obertürkheim,Stuttgart",2507.63888888889
"38","Ostfildern,Esslingen (Kreis)",3534.48275862069
"40","Plieningen,Stuttgart",2865.46782205636
"41","Remseck am Neckar,Ludwigsburg (Kreis)",3241.75824175824
"42","Remshalden,Rems-Murr-Kreis",3230.13150371641
"43","Riedenberg,Stuttgart",3675.96515410127
"44","Rohracker,Stuttgart",3179.7212543554
"45","Rohr,Stuttgart",3757.23987233888
"46","Rot,Stuttgart",2906.53594771242
"47","Schönberg,Stuttgart",4478.71572871573
"48","Schwaikheim,Rems-Murr-Kreis",3274.1935483871
"49","Sillenbuch,Stuttgart",5889.78956795782
"50","Sindelfingen,Böblingen (Kreis)",3003.92441860465
"51","Sommerrain,Stuttgart",3500
"52","Sonnenberg,Stuttgart",5278.0021747643
"53","Stammheim,Stuttgart",3646.68074558713
"54","Steckfeld,Stuttgart",3571.42857142857
"55","Süd,Stuttgart",4261.47018356051
"56","Uhlbach,Stuttgart",3450.10052604038
"57","Untertürkheim,Stuttgart",2970.97430754862
"58","Vaihingen,Stuttgart",4722.63994549715
"59","Waiblingen,Rems-Murr-Kreis",2254.54545454545
"60","Wangen,Stuttgart",2986.42533936652
"61","Wernau (Neckar),Esslingen (Kreis)",3369.5652173913
"62","West,Stuttgart",5242.43810657303
"63","Winnenden,Rems-Murr-Kreis",1887.07050968898
"64","Zuffenhausen,Stuttgart",6956.7446742906
