"","location","avgPrice"
"1","Aidlingen,Böblingen (Kreis)",1944.44444444444
"2","Asemwald,Stuttgart",2812.5
"3","Backnang,Rems-Murr-Kreis",1200
"4","Bad Cannstatt,Stuttgart",3606.7734983709
"5","Bietigheim-Bissingen,Ludwigsburg (Kreis)",3470.28252272491
"6","Birkach,Stuttgart",3362.3977960105
"7","Botnang,Stuttgart",4321.57968120712
"8","Degerloch,Stuttgart",4211.2062889672
"9","Deizisau,Esslingen (Kreis)",2523.80952380952
"10","Fasanenhof,Stuttgart",2487.5
"11","Feuerbach,Stuttgart",4472.26000749845
"12","Filderstadt,Esslingen (Kreis)",3313.31640058055
"13","Frauenkopf,Stuttgart",5343.75
"14","Freiberg am Neckar,Ludwigsburg (Kreis)",2414.28571428571
"15","Giebel,Stuttgart",3145.27458492976
"16","Hedelfingen,Stuttgart",2970.40498442368
"17","Heumaden,Stuttgart",5307.1756634471
"18","Hofen,Stuttgart",3005.02388657728
"19","Kaltental,Stuttgart",4087.81979713519
"20","Korntal-Münchingen,Ludwigsburg (Kreis)",3188.40579710145
"21","Lederberg,Stuttgart",4214.28571428571
"22","Leinfelden-Echterdingen,Esslingen (Kreis)",3309.52380952381
"23","Ludwigsburg,Ludwigsburg (Kreis)",4200
"24","Markgröningen,Ludwigsburg (Kreis)",3964.77272727273
"25","Mitte,Stuttgart",6768.88711260525
"26","Möhringen,Stuttgart",4555.40180742765
"27","Mönchfeld,Stuttgart",3030.30303030303
"28","Münster,Stuttgart",2967.84153005464
"30","Neugereut,Stuttgart",3615.51600143833
"31","Nord,Stuttgart",6705.14638678004
"32","Obertürkheim,Stuttgart",3530.60380479735
"33","Ostfildern,Esslingen (Kreis)",2644.44444444444
"35","Pleidelsheim,Ludwigsburg (Kreis)",1859.50413223141
"36","Plieningen,Stuttgart",3198.26029937447
"37","Remseck am Neckar,Ludwigsburg (Kreis)",3141.17063492064
"38","Remshalden,Rems-Murr-Kreis",1689.18918918919
"39","Riedenberg,Stuttgart",3914.23596700341
"40","Rohracker,Stuttgart",3943.69928796158
"41","Rohr,Stuttgart",3810.11904761905
"42","Rot,Stuttgart",2850.78197945845
"43","Schönberg,Stuttgart",4053.57142857143
"44","Schwaikheim,Rems-Murr-Kreis",2146.34146341463
"45","Sillenbuch,Stuttgart",6356.40323385619
"46","Sommerrain,Stuttgart",3622.64150943396
"47","Sonnenberg,Stuttgart",4752.79327481701
"48","Stammheim,Stuttgart",3429.67307258102
"49","Süd,Stuttgart",5055.92827221966
"50","Uhlbach,Stuttgart",3788.7323943662
"51","Untertürkheim,Stuttgart",3000.89929686704
"52","Vaihingen,Stuttgart",3938.36724954034
"53","Wangen,Stuttgart",3208.65800918813
"54","Weilimdorf,Stuttgart",3414.08682801464
"55","Wendlingen am Neckar,Esslingen (Kreis)",2600
"56","West,Stuttgart",5715.66568970912
"57","Zuffenhausen,Stuttgart",2864.47693573116
