"","location","avgPrice"
"1","Aidlingen,Böblingen (Kreis)",2293.44262295082
"2","Asemwald,Stuttgart",3567.9012345679
"3","Backnang,Rems-Murr-Kreis",2907.27272727273
"4","Bad Cannstatt,Stuttgart",3584.5195771391
"5","Benningen am Neckar,Ludwigsburg (Kreis)",2824.17582417582
"6","Bergheim,Stuttgart",2799.36713491367
"7","Berglen,Rems-Murr-Kreis",2578.125
"8","Bietigheim-Bissingen,Ludwigsburg (Kreis)",2674.51743013541
"9","Birkach,Stuttgart",3185.81488933602
"10","Böblingen,Böblingen (Kreis)",3114.75409836066
"11","Botnang,Stuttgart",3998.267668437
"12","Büsnau,Stuttgart",3602.94117647059
"13","Degerloch,Stuttgart",4841.99780714617
"14","Eberdingen,Ludwigsburg (Kreis)",869.565217391304
"15","Erkenbrechtsweiler,Esslingen (Kreis)",1480
"16","Esslingen am Neckar,Esslingen (Kreis)",3969.05069124424
"17","Fasanenhof,Stuttgart",2759.0900126637
"18","Fellbach,Rems-Murr-Kreis",3839.28571428571
"19","Feuerbach,Stuttgart",3965.45146793743
"20","Frauenkopf,Stuttgart",6851.70637084113
"21","Hausen,Stuttgart",4313.72549019608
"22","Hedelfingen,Stuttgart",2749.19905619906
"23","Herrenberg,Böblingen (Kreis)",2958.64197530864
"24","Heumaden,Stuttgart",4267.89605249221
"25","Hofen,Stuttgart",3887.6291079405
"26","Hoffeld,Stuttgart",3117.05284552846
"27","Kaltental,Stuttgart",4022.38805970149
"28","Kirchheim unter Teck,Esslingen (Kreis)",3419.19309701493
"29","Korntal-Münchingen,Ludwigsburg (Kreis)",2661.29032258065
"30","Leinfelden-Echterdingen,Esslingen (Kreis)",3779.06976744186
"31","Ludwigsburg,Ludwigsburg (Kreis)",2660.48965670703
"32","Luginsland,Stuttgart",3696.62921348315
"33","Magstadt,Böblingen (Kreis)",2300
"34","Mitte,Stuttgart",7142.41251706796
"35","Möhringen,Stuttgart",4578.72972449865
"36","Mönchfeld,Stuttgart",3205.36130536131
"37","Mühlhausen,Stuttgart",2792.85001124259
"38","Münster,Stuttgart",3323.16519829753
"39","Neugereut,Stuttgart",2391.30434782609
"40","Nord,Stuttgart",6023.80556559803
"41","Nufringen,Böblingen (Kreis)",3950
"42","Nürtingen,Esslingen (Kreis)",2816.66666666667
"43","Obertürkheim,Stuttgart",3512.82051282051
"45","Pleidelsheim,Ludwigsburg (Kreis)",2781.25
"46","Plieningen,Stuttgart",2850.76193970341
"47","Plüderhausen,Rems-Murr-Kreis",1973.33333333333
"48","Remseck am Neckar,Ludwigsburg (Kreis)",3088.23529411765
"49","Riedenberg,Stuttgart",3862.97677013593
"50","Rohracker,Stuttgart",2852.94117647059
"51","Rohr,Stuttgart",5164.83516483516
"52","Rot,Stuttgart",2707.45506535948
"53","Schönberg,Stuttgart",3824.6283240569
"54","Schorndorf,Rems-Murr-Kreis",3357.14285714286
"55","Sillenbuch,Stuttgart",4700.29984110414
"56","Sindelfingen,Böblingen (Kreis)",3036.2522633128
"57","Sommerrain,Stuttgart",3229.23976608187
"58","Sonnenberg,Stuttgart",4329.69776736535
"59","Stammheim,Stuttgart",3559.63280857029
"60","Steckfeld,Stuttgart",4043.92048081368
"61","Süd,Stuttgart",4016.37006143236
"62","Uhlbach,Stuttgart",1201
"63","Untertürkheim,Stuttgart",3017.38579479484
"64","Vaihingen,Stuttgart",4090.70815626513
"65","Wangen,Stuttgart",4272.35534774985
"66","Weil der Stadt,Böblingen (Kreis)",3129.03225806452
"67","Weilimdorf,Stuttgart",3335.97809436642
"68","Weinstadt,Rems-Murr-Kreis",3034.68801313629
"69","West,Stuttgart",5415.03936408911
"70","Winnenden,Rems-Murr-Kreis",3358.59706463474
"71","Zuffenhausen,Stuttgart",3501.10579062812
