"","location","avgPrice"
"1","Asemwald,Stuttgart",3246.64528555273
"2","Bad Cannstatt,Stuttgart",3448.97714642499
"3","Bergheim,Stuttgart",2969.20520349074
"4","Bietigheim-Bissingen,Ludwigsburg (Kreis)",2250
"5","Birkach,Stuttgart",3338.70911828213
"6","Böblingen,Böblingen (Kreis)",3322.22222222222
"7","Botnang,Stuttgart",4574.13492089748
"8","Büsnau,Stuttgart",4910.71428571429
"9","Degerloch,Stuttgart",4986.15471951568
"10","Ehningen,Böblingen (Kreis)",2489.36170212766
"11","Esslingen am Neckar,Esslingen (Kreis)",3481.79200542005
"12","Fasanenhof,Stuttgart",2992.00712751083
"13","Fellbach,Rems-Murr-Kreis",3552.23880597015
"14","Feuerbach,Stuttgart",3595.50597111318
"15","Filderstadt,Esslingen (Kreis)",2884.61538461538
"16","Frauenkopf,Stuttgart",6863.35199283544
"17","Freiberg,Stuttgart",3101.96779964222
"18","Gerlingen,Ludwigsburg (Kreis)",3757.62195121951
"19","Giebel,Stuttgart",3153.84615384615
"20","Großbottwar,Ludwigsburg (Kreis)",2162.16216216216
"21","Hausen,Stuttgart",4313.72549019608
"22","Hedelfingen,Stuttgart",3862.90726817043
"23","Herrenberg,Böblingen (Kreis)",1730.99119592232
"24","Heumaden,Stuttgart",4325.72817415777
"25","Hofen,Stuttgart",3696.55677655678
"26","Hoffeld,Stuttgart",3711.17379098469
"27","Kaltental,Stuttgart",4175.25764036958
"28","Korb,Rems-Murr-Kreis",2426.82926829268
"29","Leonberg,Böblingen (Kreis)",2515.08350955936
"30","Ludwigsburg,Ludwigsburg (Kreis)",3200
"31","Luginsland,Stuttgart",3696.62921348315
"32","Markgröningen,Ludwigsburg (Kreis)",3244.04761904762
"33","Mitte,Stuttgart",4660.2689333792
"34","Möglingen,Ludwigsburg (Kreis)",2015.87301587302
"35","Möhringen,Stuttgart",4770.40860827974
"36","Mönchfeld,Stuttgart",2983.40090289457
"37","Mühlhausen,Stuttgart",2641.50943396226
"38","Münster,Stuttgart",3353.40040834846
"39","Neugereut,Stuttgart",2688.17204301075
"40","Nord,Stuttgart",6147.90665219315
"41","Obertürkheim,Stuttgart",2200
"42","Ostfildern,Esslingen (Kreis)",3033.89830508475
"44","Plieningen,Stuttgart",2944.54817068856
"45","Plochingen,Esslingen (Kreis)",2207.79220779221
"46","Remseck am Neckar,Ludwigsburg (Kreis)",4243.84207958067
"47","Riedenberg,Stuttgart",3733.75996723283
"48","Rohracker,Stuttgart",3306.96864111498
"49","Rohr,Stuttgart",3565.48072389657
"50","Rot,Stuttgart",2829.40592903828
"51","Rudersberg,Rems-Murr-Kreis",1792.20779220779
"52","Schönberg,Stuttgart",4511.45151145151
"53","Sillenbuch,Stuttgart",5883.91574666204
"54","Sindelfingen,Böblingen (Kreis)",1250
"55","Sommerrain,Stuttgart",3500
"56","Sonnenberg,Stuttgart",5278.0021747643
"57","Stammheim,Stuttgart",3931.86266830464
"58","Steckfeld,Stuttgart",3571.42857142857
"59","Süd,Stuttgart",4131.14934402355
"60","Uhlbach,Stuttgart",4446.11528822055
"61","Untertürkheim,Stuttgart",3341.86363726762
"62","Vaihingen an der Enz,Ludwigsburg (Kreis)",1516.12903225806
"63","Vaihingen,Stuttgart",4479.4835970703
"64","Wangen,Stuttgart",3066.03088108572
"65","Weil der Stadt,Böblingen (Kreis)",2632.65306122449
"66","Weilimdorf,Stuttgart",3098.99483828603
"68","Winnenden,Rems-Murr-Kreis",2687.5
"69","Zuffenhausen,Stuttgart",6943.04559373098
